FinalWgt,FIR1,CR1,CR2,FIR4,FIR5,FIR6,FIR7,FIR8,FIR9,FIR10,FIR11,FIR12,FIR13,FIR14,FIR15,CR5,CR6,CR7,CR8,OR6,OR5,CR11,FIR23,CR12,FIR25,FIR26,FIR27,FIR28,FIR29,FIR30,SR1,FIR32,FIR33,CR15,FIR35,FIR36,FIR37,CR17,FIR39,FIR40,FIR41,OR15,OR16,FIR44,CR21,FIR46,CR23,OR23,FIR49,FIR50,FIR51,CR27,FIR53,CR30,CR31,FIR56,CR34,FIR58,FIR59,CR39,FIR61,OR47,OR46,CR40,FIR65,CR41,OR53,OR54,FIR69,FIR70,FIR71,FIR72,FIR73,FIR74,FIR75,CR33,FIR77,FIR78,OR60,FIR80,FIR81,Stratum,PSU
55.17,1.00,3.00,1.00,1.00,1.00,6.00,4.00,1.00,,2.00,2.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,2.00,2.00,2.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,4.00,1.00,3.00,3.00,1.00,1.00,1.00,4.00,4.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,3.00,1.00,2.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,3.00,1.00,2.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,2.00,4.00,4.00,,3.00,4.00,5.00,5.00,5.00,4.00,1.00,1.00,7.00,1.00,4.00,3.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,4.00,1.00,2.00,3.00,5.00,4.00,1.00,2.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,8.00,8.00,1.00,4.00,4.00,1.00,2.00,3.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,7.00,2.00,2.00,3.00,2.00,1.00,2.00,3.00,4.00,1.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,3.00,2.00,3.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,4.00,1.00,4.00,4.00,4.00,2.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,2.00,1.00,2.00,2.00,2.00,8.00,8.00,1.00,4.00,4.00,1.00,1.00,2.00,4.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,4.00,1.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,1.00,1.00,7.00,3.00,3.00,2.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,5.00,1.00,4.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,3.00,4.00,1.00,4.00,4.00,3.00,1.00,4.00,4.00,4.00,2.00,1.00,7.00,4.00,1.00,4.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,2.00,6.00,2.00,3.00,2.00,1.00,2.00,4.00,3.00,2.00,2.00,6.00,5.00,2.00,3.00,2.00,3.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,2.00,1.00,2.00,,2.00,7.00,8.00,1.00,2.00,4.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,5.00,4.00,4.00,1.00,2.00,1.00,3.00,3.00,3.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,4.00,6.00,6.00,3.00,2.00,1.00,4.00,2.00,4.00,3.00,1.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,8.00,1.00,1.00,3.00,1.00,1.00,1.00,5.00,2.00,1.00,4.00,7.00,2.00,8.00,8.00,1.00,4.00,4.00,1.00,1.00,2.00,4.00,4.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,7.00,1.00,3.00,4.00,2.00,1.00,2.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,2.00,1.00,2.00,201202002.00,4.00
55.17,1.00,3.00,1.00,1.00,5.00,6.00,5.00,3.00,2.00,1.00,4.00,3.00,3.00,1.00,3.00,6.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,7.00,1.00,1.00,3.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,3.00,5.00,1.00,4.00,3.00,5.00,5.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,201202002.00,4.00
55.17,1.00,4.00,1.00,1.00,1.00,3.00,3.00,1.00,3.00,1.00,4.00,4.00,4.00,1.00,4.00,2.00,6.00,,,1.00,1.00,3.00,1.00,,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,3.00,3.00,4.00,4.00,3.00,3.00,7.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,4.00,1.00,8.00,3.00,1.00,1.00,2.00,3.00,1.00,3.00,3.00,1.00,3.00,4.00,4.00,3.00,1.00,1.00,1.00,1.00,4.00,1.00,4.00,4.00,1.00,5.00,5.00,1.00,2.00,2.00,1.00,3.00,1.00,1.00,201202002.00,4.00
55.17,1.00,4.00,1.00,1.00,2.00,6.00,,4.00,1.00,1.00,4.00,3.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,,6.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,,1.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,3.00,3.00,3.00,201202002.00,4.00
57.44,1.00,2.00,2.00,1.00,1.00,6.00,6.00,3.00,4.00,1.00,4.00,4.00,7.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,1.00,3.00,7.00,4.00,3.00,4.00,201202002.00,4.00
57.44,1.00,3.00,,1.00,1.00,6.00,6.00,4.00,3.00,1.00,4.00,2.00,4.00,3.00,2.00,4.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,8.00,5.00,4.00,3.00,1.00,2.00,1.00,6.00,3.00,4.00,5.00,2.00,3.00,7.00,2.00,7.00,2.00,2.00,1.00,2.00,2.00,4.00,2.00,5.00,5.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,3.00,1.00,2.00,1.00,4.00,2.00,2.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,3.00,4.00,4.00,5.00,1.00,4.00,4.00,5.00,4.00,1.00,2.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,5.00,8.00,2.00,4.00,8.00,1.00,3.00,4.00,1.00,3.00,2.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,4.00,2.00,3.00,3.00,5.00,5.00,3.00,5.00,4.00,1.00,2.00,1.00,2.00,2.00,4.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,3.00,6.00,4.00,5.00,1.00,4.00,3.00,5.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,7.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,2.00,2.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,3.00,4.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,1.00,1.00,7.00,4.00,2.00,2.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,4.00,5.00,4.00,5.00,1.00,3.00,4.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,7.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,4.00,4.00,5.00,4.00,3.00,2.00,4.00,1.00,2.00,1.00,4.00,2.00,4.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,6.00,6.00,2.00,4.00,1.00,3.00,1.00,3.00,1.00,4.00,3.00,4.00,4.00,2.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,5.00,2.00,2.00,4.00,5.00,2.00,4.00,8.00,6.00,4.00,4.00,1.00,1.00,3.00,2.00,3.00,8.00,8.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,4.00,1.00,4.00,3.00,5.00,2.00,2.00,2.00,5.00,1.00,1.00,3.00,2.00,1.00,1.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,6.00,6.00,4.00,5.00,1.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,5.00,2.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,2.00,3.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,4.00,1.00,4.00,4.00,4.00,3.00,3.00,2.00,4.00,1.00,3.00,7.00,1.00,4.00,4.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,1.00,6.00,6.00,6.00,4.00,1.00,3.00,2.00,3.00,3.00,1.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,8.00,1.00,1.00,3.00,1.00,1.00,1.00,6.00,2.00,1.00,4.00,8.00,2.00,2.00,8.00,1.00,3.00,3.00,1.00,3.00,6.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,3.00,1.00,1.00,3.00,3.00,2.00,1.00,3.00,3.00,4.00,4.00,4.00,4.00,,5.00,3.00,1.00,4.00,1.00,1.00,7.00,2.00,2.00,2.00,201202002.00,4.00
57.44,1.00,3.00,2.00,1.00,4.00,6.00,3.00,4.00,6.00,1.00,2.00,4.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,3.00,1.00,2.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,2.00,2.00,5.00,4.00,1.00,3.00,1.00,4.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,2.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,4.00,4.00,3.00,3.00,2.00,1.00,1.00,3.00,4.00,1.00,4.00,4.00,4.00,3.00,1.00,4.00,4.00,1.00,1.00,3.00,3.00,2.00,2.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,3.00,2.00,4.00,7.00,1.00,4.00,4.00,8.00,7.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,2.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,3.00,4.00,1.00,4.00,3.00,3.00,2.00,3.00,5.00,4.00,1.00,1.00,1.00,3.00,2.00,2.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,3.00,3.00,4.00,6.00,1.00,4.00,4.00,4.00,6.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,1.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,3.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,4.00,4.00,2.00,4.00,3.00,3.00,5.00,3.00,2.00,4.00,2.00,2.00,1.00,3.00,2.00,3.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,3.00,6.00,4.00,2.00,1.00,4.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,3.00,3.00,7.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,3.00,1.00,1.00,3.00,4.00,4.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,4.00,6.00,4.00,6.00,1.00,2.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,3.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,3.00,4.00,2.00,2.00,7.00,3.00,1.00,2.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,5.00,2.00,4.00,4.00,1.00,4.00,3.00,8.00,6.00,1.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,1.00,3.00,1.00,1.00,1.00,6.00,2.00,1.00,2.00,2.00,2.00,4.00,8.00,1.00,4.00,4.00,1.00,1.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,2.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,1.00,1.00,6.00,3.00,3.00,3.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,6.00,2.00,4.00,5.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,2.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,4.00,2.00,3.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,3.00,4.00,4.00,4.00,3.00,5.00,5.00,3.00,3.00,4.00,1.00,2.00,1.00,3.00,2.00,1.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,3.00,1.00,2.00,3.00,3.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,2.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,3.00,1.00,1.00,3.00,4.00,1.00,1.00,1.00,3.00,4.00,4.00,4.00,4.00,5.00,2.00,3.00,3.00,4.00,3.00,1.00,1.00,4.00,3.00,3.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,1.00,6.00,6.00,4.00,4.00,1.00,4.00,1.00,6.00,6.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,3.00,4.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,1.00,4.00,1.00,3.00,1.00,3.00,1.00,4.00,2.00,4.00,2.00,2.00,6.00,1.00,1.00,2.00,201202002.00,4.00
71.40,1.00,3.00,1.00,1.00,4.00,6.00,6.00,4.00,4.00,1.00,4.00,4.00,7.00,1.00,1.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,8.00,4.00,2.00,2.00,1.00,1.00,1.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,1.00,1.00,1.00,4.00,2.00,1.00,1.00,4.00,4.00,4.00,4.00,2.00,5.00,3.00,4.00,3.00,4.00,1.00,2.00,1.00,2.00,2.00,1.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,1.00,3.00,2.00,4.00,5.00,1.00,3.00,3.00,5.00,2.00,1.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,4.00,3.00,1.00,2.00,6.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,3.00,1.00,4.00,2.00,3.00,1.00,1.00,4.00,4.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00,3.00,1.00,2.00,1.00,3.00,4.00,4.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,1.00,3.00,4.00,4.00,3.00,1.00,2.00,3.00,4.00,3.00,1.00,3.00,5.00,,,1.00,2.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,5.00,2.00,1.00,2.00,2.00,2.00,8.00,8.00,1.00,2.00,2.00,1.00,2.00,2.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,3.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,4.00,1.00,4.00,5.00,5.00,3.00,5.00,4.00,3.00,3.00,3.00,1.00,3.00,2.00,2.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,1.00,6.00,6.00,4.00,5.00,1.00,2.00,2.00,3.00,3.00,1.00,3.00,5.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,8.00,8.00,1.00,2.00,2.00,1.00,2.00,2.00,4.00,5.00,8.00,8.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,4.00,2.00,1.00,1.00,3.00,4.00,2.00,4.00,3.00,3.00,3.00,1.00,4.00,3.00,1.00,2.00,6.00,3.00,2.00,4.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,1.00,6.00,6.00,5.00,6.00,1.00,4.00,3.00,7.00,7.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,1.00,3.00,4.00,1.00,4.00,3.00,3.00,5.00,1.00,1.00,4.00,1.00,1.00,7.00,3.00,2.00,2.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,2.00,6.00,6.00,4.00,2.00,1.00,4.00,4.00,4.00,5.00,3.00,6.00,4.00,5.00,3.00,3.00,3.00,3.00,5.00,5.00,2.00,6.00,1.00,1.00,2.00,1.00,1.00,1.00,6.00,4.00,3.00,5.00,2.00,3.00,4.00,8.00,6.00,2.00,2.00,1.00,5.00,4.00,1.00,3.00,8.00,8.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,3.00,1.00,4.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,1.00,4.00,3.00,5.00,5.00,2.00,2.00,3.00,1.00,1.00,7.00,2.00,1.00,1.00,201202002.00,4.00
74.34,1.00,3.00,2.00,1.00,4.00,6.00,6.00,2.00,3.00,1.00,4.00,3.00,7.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,2.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,5.00,3.00,4.00,1.00,1.00,7.00,3.00,2.00,4.00,201202002.00,4.00
74.34,1.00,4.00,2.00,1.00,5.00,6.00,6.00,4.00,4.00,1.00,4.00,2.00,8.00,8.00,4.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,2.00,5.00,2.00,7.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,3.00,6.00,3.00,1.00,3.00,8.00,8.00,8.00,4.00,2.00,1.00,4.00,6.00,2.00,4.00,7.00,7.00,1.00,3.00,1.00,1.00,3.00,4.00,3.00,3.00,1.00,3.00,1.00,3.00,3.00,3.00,2.00,3.00,4.00,2.00,4.00,3.00,3.00,5.00,4.00,5.00,4.00,1.00,1.00,7.00,2.00,1.00,2.00,201202002.00,4.00
75.26,1.00,5.00,2.00,3.00,1.00,4.00,4.00,4.00,5.00,1.00,3.00,3.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,6.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,1.00,4.00,3.00,3.00,3.00,4.00,2.00,3.00,1.00,3.00,1.00,4.00,1.00,2.00,201202002.00,4.00
75.26,1.00,5.00,2.00,3.00,1.00,5.00,2.00,5.00,3.00,1.00,2.00,1.00,3.00,3.00,1.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,2.00,1.00,3.00,1.00,6.00,2.00,1.00,2.00,2.00,2.00,8.00,8.00,5.00,4.00,4.00,1.00,4.00,2.00,4.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,4.00,4.00,4.00,4.00,5.00,3.00,3.00,3.00,4.00,4.00,2.00,2.00,1.00,2.00,1.00,2.00,201202002.00,4.00
75.26,1.00,5.00,2.00,3.00,1.00,6.00,5.00,4.00,7.00,1.00,4.00,2.00,4.00,5.00,3.00,2.00,6.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,7.00,1.00,1.00,3.00,2.00,2.00,1.00,5.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,4.00,4.00,1.00,2.00,6.00,2.00,3.00,8.00,8.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,7.00,3.00,1.00,2.00,2.00,3.00,3.00,3.00,4.00,1.00,4.00,2.00,2.00,5.00,3.00,5.00,4.00,2.00,2.00,7.00,2.00,1.00,2.00,201202002.00,4.00
75.26,1.00,5.00,2.00,3.00,1.00,6.00,6.00,4.00,6.00,1.00,4.00,2.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,1.00,1.00,3.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,4.00,1.00,4.00,4.00,5.00,2.00,4.00,1.00,3.00,1.00,2.00,1.00,2.00,1.00,4.00,201202002.00,4.00
